893, 740
904,671
904,672
904,675
903,677
901,678
900,678
900,678
898,679
895,680
895,680
892,682
891,682
889,682
887,684
886,684
884,685
883,685
882,688
881,690
879,690
876,691
874,692
873,694
872,694
869,696
868,696
867,698
867,699
863,707
863,708
865,710
868,715
868,715
868,717
867,719
867,720
866,725
866,726
866,727
864,730
864,730
862,734
858,735
853,735
852,735
847,735
843,735
838,735
835,735
832,736
831,736
829,739
827,741
824,743
823,744
822,747
822,752
822,753
823,756
824,757
826,760
828,763
830,767
831,768
832,769
836,772
837,772
841,772
842,771
845,771
848,772
852,773
854,774
860,777
861,777
867,781
867,784
867,784
867,786
869,786
870,788
876,790
874,789
877,787
880,787
885,787
896,791
896,794
894,796
893,799
892,801
892,806
892,810
894,812
895,814
899,814
902,815
905,815
909,816
912,819
916,821
918,823
919,823
920,821
922,818
920,814
919,808
922,803
926,798
928,795
928,788
928,782
928,779
928,774
928,768
928,766
931,765
932,763
933,759
935,754
935,753
937,749
937,747
940,745
942,743
945,739
946,738
950,736
952,733
955,729
958,726
959,723
956,723
952,723
948,723
944,721
941,717
937,717
933,717
929,715
920,712
918,704
915,694
911,688
906,680
905,677
903,676
